addr,key,name
蓟县洇溜镇敦庄子村西,普通,敦庄子中心小学
天津市武清区豆张庄乡西柳行村,普通,天津市武清区豆张庄乡西柳行小学
天津市河东区八纬路199号,普通,天津音乐小学
蓟县下窝头镇白塔子村西,普通,蓟县下窝头镇白塔子中心小学
马伸桥镇政府南500米,普通,天津市蓟县马伸桥中心小学
天津市静海县杨成庄乡梅厂村,普通,天津市静海县杨成庄乡梅厂明德小学
天津市宝坻区林亭口镇帐房圈村,普通,天津市宝坻区林亭口镇帐房圈中心小学
天津市和平区荣吉街12号,普通,天津市和平区兴安路小学
天津市武清区王庆坨镇道沟子村,普通,天津市武清区王庆坨镇道沟子小学
苗庄镇中捷村,普通,天津市星辰小学
天津市河西区尖山路15号,普通,天津市河西区澧水道小学
天津市南开区二马路61号,普通,天津市南开区洪沅里小学
天津市宝坻区马家店镇果园村东,普通,天津市宝坻区马家店镇果园中心小学
天津市河西区挂甲寺湘阳大街37号,普通,天津市河西区启智小学
蓟县上仓镇南王庄村南,普通,蓟县上仓镇仓前庄中心小学
天津市宝坻区尔王庄乡程泗淀村,普通,天津市宝坻区程泗淀中心小学
宁河县板桥镇张子铺村西,普通,张子铺中心小学
天津市东丽区金钟街欢坨村,普通,天津市东丽区欢坨小学
天津市宝坻区高家庄镇,普通,天津市高家庄镇第一中心小学
天津市武清区河北屯镇四新小学,普通,天津市武清区河北屯镇四新小学
天津市东丽区么六桥回族乡流芳台村,普通,天津市东丽区流芳中心小学
宁河县芦台镇新生街,普通,天津市芦台镇第二小学（芦台二小）
天津市东丽区万新街潘庄村,普通,天津市东丽区潘庄中心小学
天津市武清区白古屯乡东马房村东南,普通,天津市武清区白古屯乡东马房中心小学
天津市武清区下伍旗镇河各庄村北,普通,天津市武清区下伍旗镇河各庄中心小学
天津市东丽区无瑕街新袁村,普通,天津市东丽区新袁庄中心小学
天津市津南区双桥河镇东泥沽村,普通,天津市津南区双桥河第二小学（双桥河二小）
天津市大港区三号院光明大道西侧高层下,普通,天津市大港区三号院小学
东丽区民族路刘辛庄村西侧,普通,天津市东丽区刘辛庄回族小学
天津市武清区杨村街大桥道102号,普通,天津市武清区杨村街第一小学（添加杨村一小）
尤古庄镇大龙卧村,普通,体检时大龙卧中心小学
天津市东丽区金钟街徐庄村,普通,天津市东丽区徐庄小学
七里海镇任凤村,普通,宁河县七里海镇任凤庄小学
天津市宁河县板桥镇北珠村东侧,普通,天津市宁河县板桥中心小学
天津市蓟县罗庄子镇政府南,普通,罗庄子中心小学
天津市宝坻区王卜庄镇东孟村西,普通,宝坻区王卜庄镇第三中心小学
天津市南开区万德庄南北街40号,普通,南开区五马路小学
蓟县渔阳镇仓上屯村村北200米路东,普通,天津市渔阳镇仓上屯中心小学
天津市汉沽区茶淀镇西孟村,普通,天津市汉沽区西孟小学
天津市大港区小王庄镇向阳小区,普通,天津市大港区向阳小学
天津市蓟县马伸桥镇于各庄村西,普通,蓟县马伸桥镇于各庄中心小学
天津市河北区宇纬路4号,普通,天津市河北区黄纬路小学
天津市大港区海滨街新盛小区,普通,天津市大港区桃李园小学
天津市津南区小站镇文化路4号,普通,天津市津南区小站第一小学（天津小站一小）
天津市河北区月牙河街道开江道,普通,天津市河北区开江道路小学
